class,name,author,number,mark,publish_time,extract
文学,红楼梦,曹雪芹著 无名氏续 程伟元 高鹗整理,6111人点评,93.10%,2019年10月,《红楼梦》，中国古代古代四大名著之一，也是中国古代小说的巅峰之作。全书以荣国府的日常生活为中心，以宝玉、黛玉、宝钗的爱情婚姻悲剧及大观园中点滴琐事为主线，以金陵贵族名门贾、史、王、薛四大家族由鼎盛走向衰亡的历史为暗线，展现了封建时代家族和社会的没落。
文学,基督山伯爵,大仲马,2.3万人点评,93.10%,2013年8月,世界通俗小说中的扛鼎之作，一百多年来始终畅销不衰，发行数以亿册，多次被搬上银幕。本书主要描写的是法国波旁王朝时期发生的一个报恩复仇的故事。法老号船的年轻大副唐戴斯受船长临终之托为拿破仑党人送一封信，遭两个卑鄙小人和阴险检察官维尔福的陷害，被关入死牢。剥夺了本该属于他的美好阳光、爱情和前程。十八年后，他带着狱友法里亚教士临死前告诉他的秘密，越狱逃生，找到法里亚藏匿的宝藏后成为巨富，从此他化名基督山伯爵。经过精心策划，他报答了恩人，惩罚了三个想置他于死地的仇人，并向恩人报了恩。
文学,刘震云作品选,刘震云,406人点评,93.10%,2022年8月,《刘震云作品选》是中国当代著名作家刘震云的小说作品选集，收录了刘震云自1987年发表第一部短篇小说《塔铺》起至今30多年来获奖无数的经典代表作。包括《一日三秋》《一句顶一万句》《我不是潘金莲》《我叫刘跃进》《温故一九四二》《一地鸡毛》六部作品。  刘震云笔下的小人物如你我一样，每天都为房子、孩子、票子奔波操劳，为结婚离婚、朋友失和、职场进退耗上半生心力，就好像是平行世界中的我们。  读《一地鸡毛》，懂得心机背后的酸楚；  读《温故一九四二》，懂得苦难背后的幽默；  读《我叫刘跃进》，懂得利益背后的危机；  读《一句顶一万句》，懂得热闹背后的孤独；  读《我不是潘金莲》，懂得艰难背后的荒诞；  读《一日三秋》，懂得笑话背后的悲凉。  读过这套书，对中国人的人情世故、情绪的本质多一重理解与感悟，人生会变得更开阔。
文学,平凡的世界（全三册）,路遥,11万人点评,93.10%,2017年5月,茅盾文学奖皇冠上的明珠。激励亿万读者的不朽经典。深受老师和学生喜爱的新课标必读书。路遥获得了这个世界里数以亿计的普通人的尊敬和崇拜，他沟通了这个世界的人们和地球人类的情感。
文学,一地鸡毛（典藏版）,刘震云,1.3万人点评,93.10%,2016年8月,《一地鸡毛》被称为新写实主义的代表作，获得多种文学奖，描写了主人公小林在单位在家庭的种种遭遇和心灵轨迹的演变。菜篮子、妻子、孩子、豆腐、保姆、单位中的恩恩怨怨和是是非非。从而反映了大多数中国人在八九十年代的日常生活和生存状态。它真实而生动地反映了大多数中国人生活的主旋律，深刻反映了改革开放的新形势给人们内心和外在的变化。本书以生动的细节和人物形象取胜，是一部精彩作品。  《一地鸡毛》在 出版时就引起轰动，被称为新写实主义的代表作，获得多种文学奖。其中很多篇目是琐碎人生的范本和关系学的教科书。菜篮子、妻子、孩子、保姆、单位……当中的恩恩怨怨和是是非非将官场和家庭的鸡毛蒜皮纤毫毕现，不嫌其俗，不掩其恶，人心之险展示无遗。
文学,走出戈壁【亚洲知名的金融家、投资人单伟建先生回忆录】,单伟建,1667人点评,93.10%,2021年6月,《走出戈壁》是亚洲知名的金融家、投资人单伟建先生撰写的一部英文回忆录。书中作者以第一人称的方式讲述了个人成长经历，以“常春藤教授”收尾，回顾了自己在取得博士学位后在宾夕法尼亚大学沃顿商学院的任教经历，篇尾定格在单先生在沃顿执教6年后，于1993年春天入职摩根大通，开启了他作为金融家和投资人的人生新历程。本书可读性强，资料丰富，细节生动，文辞畅达。
哲学,楞严经（佛教十三经）,赖永海主编,725人点评,93.00%,2012年8月,“开悟的《楞严》，成佛的《法华》。”这句禅门话语道出了《楞严经》在中国佛教中的特殊地位和影响。本经自唐代中叶译出后便开始流行，宋代之后更是盛行于僧俗、禅教之间，成为汉传大乘佛教的最核心经典之一，是一部对中国佛教之禅、净、教、律、密都有着广泛而深刻影响的大乘经典。
文学,安娜·卡列尼娜（全集）,列夫·托尔斯泰,493人点评,93.00%,2020年9月,小说《安娜·卡列尼娜》通过安娜的感情生活以及庞大的人物体系，反映了人与人之间的关系，生动而深刻地写出了十九世纪中叶俄国资本主义刚刚兴起的时期。
历史,大医·破晓篇,马伯庸,6743人点评,92.90%,2022年9月,《大医·破晓篇》是马伯庸2022年全新长篇历史小说。 挽亡图存、强国保种，这是医者在清末变局中的一声呐喊。 大医若史，以济世之仁心，见证大时代的百年波澜。
历史,弃长安,张明扬,3972人点评,92.90%,2022年1月,本书是一部讲述唐朝安史之乱时期历史过程与人物命运的通俗作品，以安史之乱中多位关键历史人物，即李林甫、杨国忠、安禄山、颜杲卿、哥舒翰、杨玉环、李亨、张巡等人的“弃长安”经历为线索，聚焦唐朝由盛转衰过程中的重要议题，以乱离亲历之人的经历解释“变乱何以爆发”与“盛世何以崩陷”，以此重新刻画安史之乱时期的完整历史图景。
历史,诸神的黄昏：1944—1945，从莱特湾战役到日本投降,伊恩·托尔,589人点评,92.90%,2021年12月,21世纪太平洋战争史集大成之作 1944年6月的菲律宾海战役后，盟军在太平洋战争中占据了绝对主动。为了减少伤亡和速战速决，美国人绞尽脑汁，而日军考虑的却只是如何“光荣赴死”。在“七生报国”的心态驱使下，从莱特湾战役起，日军开始实行各种形式的“万岁冲锋”。无论是以“神风”为代表的特攻部队，还是海上巨无霸“武藏号”和“大和号”，通通走上了不归路。日本媒体将一场场惨败美化为大捷，在东京遭遇伤亡超过十万人的空袭后只强调皇宫完好无损，天皇安然无恙。日本政府则要求民众展示“大和魂”，为国家做出更大牺牲。连妇女儿童也被训练用竹枪迎战，准备“一亿玉碎”。而在马尼拉，自知行将毁灭的日本兵，展现出人性至深的黑暗面，犯下罄竹难书的兽行。作为“太平洋战争三部曲”的最后一卷，《诸神的黄昏：1944—1945，从莱特湾战役到日本投降》延续了前两卷的特色，逼真还原了战争末段一幕幕惊心动魄的场面，而且带领读者走进华盛顿和东京的决策地，品鉴各方首脑在战略和外交层面的重大决议。它不仅给这部里程碑式的作品画上了完满的句号，更将军事史写作推向了新的巅峰。
文学,半小时漫画世界名著（全3册）,陈磊?半小时漫画团队,1596人点评,92.90%,2022年12月,孩子不爱读名著，原因有三：字太多；情节太复杂；不知道作者想要表达啥。陈磊（笔名：混子哥）领衔的半小时漫画团队，通过诙谐语言和手绘漫画，不仅让砖头一样厚的名著瞬间变得轻松有趣，还能给孩子讲透名著背后的历史、社会、思想、人性。  《简?爱》实际上是一个孤女的逆袭之路。  《格列佛游记》本质上是一部对英国现实社会的辛辣讽刺剧；  《老人与海》本质上是硬汉老头儿的四次不认命故事。 ……  翻开本书，一个半小时了解24部世界名著的精华，像追剧一样追完《简?爱》《小王子》《老人与海》《堂吉诃德》《哈姆雷特》《悲惨世界》《海底两万里》《战争与和平》《钢铁是怎样炼成的》《鲁滨孙漂流记》《汤姆?索亚历险记》……
文学,西游记,吴承恩,4152人点评,92.90%,2019年9月,此次出版大字本，底本拟采用发行量最大的“中国古典文学读本丛书”四大名著，其中《三国演义》《西游记》经过全面修订，更臻完善。
文学,唐诗鉴赏辞典（新一版）,上海辞书出版社文学鉴赏辞典编纂中心,305人点评,92.80%,2013年8月,《唐诗鉴赏辞典》是国内文艺类鉴赏辞典的发轫之作。它首创的融文学赏析和工具书于一体的编写体例，已成为中国文学鉴赏辞典的固有模式。  《唐诗鉴赏辞典》共收唐代190多位诗人诗作1100余篇，全书约230万字。由萧涤非、程千帆、马茂元、周汝昌、周振甫、霍松林等古典文学专家撰写赏析文章。所收唐诗作品面广，各种艺术流派的诗篇兼收并蓄，较全面地展现了唐诗绚丽多彩的艺术风姿。  另配有唐代诗人年表、唐诗书目、诗体诗律等多种附录。
历史,英国通史,钱乘旦 许洁明,28人点评,92.70%,2020年3月,本书为我社长销书《英国通史》的修订版，反映了国内外学术界的新成果；阐述了英国的兴盛之道，透视了其成功走现现代化的历程；揭示了英国民族的禀赋和创造力，展现了其所开创的现代文明。此次修订作了相关字词的修订和内容的更新。使全书体系更加完整，脉络更清晰。
文学,卡利古拉,加缪,246人点评,92.70%,2017年1月,《卡利古拉》包括加缪戏剧作品和加缪论戏剧两部分。加缪戏剧作品中包括《卡利古拉》、《误会》、《戒严》、《正义者》、《阿斯图里亚斯起义》五部作品。《卡利古拉》是加缪对人类存在课题一次非常猛烈的撞击。
文学,面纱（珍藏版）,W.毛姆·萨默塞特,3359人点评,92.70%,2020年5月,读毛姆的《面纱》，就像在读自己。为了抵达真实，他对书中的人物抱着一种近乎冷淡的态度，他们的爱恨悲喜仿佛与他全然无关，可那些男男女女却如此活灵活现，连一个不经意的眼神都像是发生在你的眼前。  什么是爱情？是不是女人总会把它当作生命的全部？这是一个过于真实的爱情故事，人性的自私与冷酷在毛姆的笔触下显得如此自然而然。但它又是一个如此浪漫的爱情故事，高尚之人爱上庸俗之人，一个人所憎恨轻鄙的，恰恰又是他满腔柔情的所在。因为爱情如此纯粹，从来无惧浅薄，纵使是人世间最美好的灵魂，也不一定能拿到它的通行证。  【内容简介】  婚后随夫远赴香港的英国美人凯蒂，不甘忍受天性孤僻的丈夫瓦尔特，与香港助理布政司查尔斯暗生情愫。这场不顾一切的出轨，引发了瓦尔特奇特而又可怕的复仇：他要带着凯蒂前往霍乱肆虐的中国内地平息瘟疫。在那座充满死亡气息的南方小城中，凯蒂面临的不仅仅是破裂的婚姻，更是生与死的寒冬。背叛、爱情与死亡的漩涡，终会将生活的面纱从她眼前揭去，指引她通往那条渐渐浮现的觉醒与救赎之路。  复仇的历险和人性的拷问，大师毛姆参透爱情悖论与精神救赎的长篇小说。    【作者简介】  W．萨默塞特·毛姆（1874——1965），英国现代小说家、剧作家。他于1897年发表处女作《兰贝斯的丽莎》，1919年发表长篇小说《人性的枷锁》。此后发表的《月亮与六便士》《面纱》与《刀锋》均是其文学生涯的巅峰之作。毛姆是一位著作颇丰的作家，被公认为20世纪流行最广、最受欢迎的作家之一。
文学,遥远的向日葵地,李娟,1.6万人点评,92.70%,2017年11月,2017中国好书，第七届鲁迅文学奖获奖作品。阿勒泰的葵花比阿尔勒的葵花更炽烈，最亲的亲人和最亲的家畜都是家人。广受好评的新生代非虚构散文写手李娟继“羊道”三部曲后全新力作。母亲带着家禽、牲畜，举家迁徙乌伦古河岸的戈壁，定居在葵花地边的“冬窝子”，开始一段充满艰辛与奇遇的耕种生活。荒漠上开辟的百亩葵花地，经历鹅喉羚啃食、三次补种，又接连遭遇干旱、虫害，直至收获，中间是微弱的希望和漫长等待……在这些吉光片羽的记录中，作者首次集中将思绪汇聚于自己家族成员的生活细微，他们与无垠荒漠构成完整的生态样本。
文学,一个叫欧维的男人决定去死,弗雷德里克·巴克曼,5.8万人点评,92.70%,2015年12月,读这个故事，你会哭，会笑，会想搬到北欧去 认识一下欧维。他59岁，脾气古怪，嫌东嫌西，带着坚不可摧的原则、每天恪守的常规以及随时发飙的脾性在社区晃来晃去，被背地里称为“地狱来的恶邻”。他每天一大早就四处巡视，搬动没停进格线的脚踏车，检查垃圾是否按规定分类，抱怨谁家的草坪还不修剪，诅咒那只掉了毛的流浪猫。没完没了。他想自杀。直到一个十一月的早晨，当一对话痨夫妇和他们的两个话痨女儿搬到隔壁，不小心撞坏了他的邮筒……看哭全北欧的瑞典票房冠军电影同名原著小说，韩国治愈系男神池昌旭温情推荐。
历史,明朝那些事儿·全集（2020版）,当年明月,3956人点评,92.60%,2020年6月,《明朝那些事儿》主要讲述的是从1344年到1644年这三百年间关于明朝的历史，参考《明实录》《明通鉴》《明史》《明史纪事本末》等二十余种明代史料和笔记杂谈，经明史专家毛佩琦审订推荐，俯瞰三百年明史，看到不一样的大明王朝：明朝，一个让人血性喷薄的朝代，一个光怪陆离的朝代、一个强悍而温情的朝代，一个历经劫难又恢宏大气的朝代。明朝就像中国历史的褶皱，每翻开一篇都有精彩无比的故事蕴含着属于中国人的文化密码、政治逻辑、人性经验。
文学,威尼斯商人,莎士比亚,97人点评,92.60%,2016年12月,莎士比亚在喜剧方面取得了很高的成就。乐观主义是莎士比亚的喜剧创作的基调。在他的喜剧中，蕴含着人文主义者的美好理想，以及对人类光明前途的展望。本书收选朱生豪先生翻译的莎翁喜剧代表作：《威尼斯商人》《仲夏夜之梦》《第十二夜》《无事生非》《皆大欢喜》。
文学,悉达多,赫尔曼·黑塞,2.8万人点评,92.60%,2017年1月,青年悉达多厌倦了婆罗门生活，与好友侨文达一道跟随沙门修行。在舍卫城他们聆听了佛陀乔达摩的教义，侨文达选择追随乔达摩，悉达多则继续修行之路。他在城市中结识名妓迦摩罗，并开始追逐情欲和名利，直至对一切产生厌倦。他再次抛下世俗，决心结束自己的生命。在河边，在绝望的瞬间，他听到河水的声音……
文学,一句顶一万句（2022新版）,刘震云,1.4万人点评,92.60%,2022年8月,《一句顶一万句》是作家刘震云创作于2006年到2008年的长篇小说[1]，2011年8月获得第八届茅盾文学奖[2]。小说的主题是讲“一个人想找另一个人说句话不容易”。
历史,走进博物馆（套装12册）：以物说史 以物证史 以物串史,陕西省文物局,46人点评,92.50%,2021年10月,“走进博物馆系列”丛书有《渭南市博物馆》、《西安半坡博物馆》、《秦始皇帝陵博物院》、《陕西历史博物馆》、《汉中市博物馆》、《汉景帝阳陵博物院》、《宝鸡青铜器博物院》、《安康博物馆》、《西安碑林博物馆》、《法门寺博物馆》、《西安博物院》、《延安革命纪念馆》选择陕西zui有代表性的一批博物馆，一馆一册，重点挖掘文物藏品的内涵价值，以物说史，以物证史，以物串史，通过文物呈现文化，讲好陕西文化故事，展现文化自信
文学,哈姆莱特（莎士比亚戏剧·汉英对照）,莎士比亚,101人点评,92.50%,2018年1月,《哈姆莱特》是由英国剧作家威廉·莎士比亚创作于1599年至1602年间的一部悲剧作品。戏剧讲述了主角哈姆莱特的叔叔谋害了他的父亲，篡取了王位，并娶了国王的遗孀；而哈姆莱特王子因此向叔叔复仇的悲剧故事。《哈姆莱特》是莎士比亚所有戏剧中篇幅最长的一部，也是莎士比亚最负盛名的剧本，具有深刻的悲剧意义、复杂的人物性格以及完美的悲剧艺术手法，代表着整个西方文艺复兴时期文学的最高成就。本剧同《麦克白》、《李尔王》和《奥瑟罗》一起被称为莎士比亚“四大悲剧”。
文学,生死疲劳,莫言,3.1万人点评,92.50%,2022年1月,不看不知道，莫言真幽默！在极度痛苦时笑出声来，获得内心深处的解脱。 不看不知道，欲哭又想笑。活着不容易，幽默无价宝。 ——莫言 五十年间西门闹经历六次转世， 一世为驴，二世为牛，三世为猪，四世为狗，五世为猴，最终降生为人。 在这六世里，他目睹蓝脸一家三代经历人生的生死疲劳， 他们爱就爱到底，恨就恨到底，犟就犟到底，干就干到底， 有极致的痛苦与欢乐，更有不灭的热情与希望。 而他们的故事，要从1950年1月1日讲起……
文学,我的阿勒泰,李娟,5933人点评,92.50%,2021年8月,偏远寂静的阿克哈拉村，缓慢而永恒的喀吾图，沙依横布拉克的夏牧场……“阿勒泰的精灵”李娟以细腻明亮的笔触全景式记录北疆边地美好闪光的时刻。全书分为两辑。第一辑记忆之中（2007-2009），记录了在喀吾图和阿克哈拉村细碎坚忍的生活画面；第二辑角落之中（2002-2006），原生态书写了李娟和母亲及高龄的外婆随牧民迁徙、流动的日常：开杂货铺，当小裁缝，帮往来的牧民车衣裙，去大山深处采野生木耳；春天沙依恒布拉克草原上鼓胀的帐篷，夏季牧场上喧嚣盛大的阿肯弹唱会，入冬后瓷实的迢迢雪路……戈壁、草原、森林、雪山、骏马和牧人，细腻明亮的文字展现了游牧民族在边地深远丰富的生存景观。
历史,明朝那些事儿（全集）,当年明月,19.9万人点评,92.40%,2011年12月,一本书让你爱上历史。 《明朝那些事儿》主要讲述的是从1344年到1644年这三百年间关于明朝的一些故事。以史料为基础，以年代和具体人物为主线，并加入了小说的笔法，语言幽默风趣。对明朝十七帝和其他王公权贵和小人物的命运进行全景展示，尤其对官场政治、战争、帝王心术着墨最多，并加入对当时政治经济制度、人伦道德的演义。它以一种网络语言向读者娓娓道出明朝三百多年的历史故事、人物。其中原本在历史中陌生、模糊的历史人物在书中一个个变得鲜活起来。《明朝那些事儿》为我们解读历史中的另一面，让历史变成一部活生生的生活故事。
历史,沈从文讲文物,沈从文,265人点评,92.40%,2022年11月,沈从文是国内文物研究的先驱，在文物研究的多个领域都有开创性的成果，凝结了沈从文整个后半生的心血。《沈从文讲文物》精选沈从文文物研究文章30篇，分门别类地介绍了玉器、陶瓷、漆器、琉璃等文物的鉴赏知识、加工工艺、历史典故、研究方法，把6000年文物分门别类地看个遍，从此掌握看文物的门道！  《沈从文讲文物》收录近200张全彩文物图片。不仅收录了沈从文的演讲《我是一个很迷信文物的人》，听沈先生讲述自己是如何研究文物的；同时还特别收录了《沈从文的后半生》作者张新颖教授的导读，帮助读者更好地掌握文物背后的门道。翻开本书，看懂玉器、陶瓷、漆器、琉璃等文物背后的门道！
文学,万尼亚舅舅·三姊妹·樱桃园,契诃夫,415人点评,92.40%,2014年11月,本卷包含契诃夫经典名剧《万尼亚舅舅》、《三姊妹》和《樱桃园》，按创作时间排序，并收录焦菊隐写于1943年的《<樱桃园>译后记》。这三个剧本，虽然故事不同，所表达的都是契诃夫始终关注的主题：他憎恶十九世纪末俄国社会随处可见的、只知道用一些不连贯的空谈，对“未来”的空想，以充实当下空虚没落偷懒的生活的灰色的人群，他同情勤苦劳动却被毁灭了幸福和希望的另一群人，他用抒情诗一般的结构和台词、背景描述，创造了现代戏剧的开端。
历史,半小时漫画大套装（套装共16册）,陈磊·半小时漫画团队,1495人点评,92.20%,2000年9月,《半小时漫画历史系列（共6册）》       看半小时漫画，通五千年历史，用漫画解读历史，开启读史新潮流！       《半小时漫画中国哲学史》       明明在看诸子百家的精彩掐架，看完却秒懂了中国哲学的奥妙精华！       《半小时漫画世界史》       简到崩溃的极简欧洲史、美国往事三部曲、一口气就能读完的日本史、肌肉猛男斯巴达300勇士、酷炫无比的加勒比海盗……       《半小时漫画唐诗宋词》系列（全4册）       看起来都是笑点，实际上全是考点，让你在哈哈大笑中重新爱上唐诗宋词。       别光笑，有考点！内含29篇初高中必考古诗文的注释+翻译，由原中考命题组组长忍住笑亲自出马撰写！       《半小时漫画经济学》系列（共4册）        用特别有趣的方式，讲清楚特别艰深的经济学原理！
哲学,六祖坛经讲话,星云大师,900人点评,92.10%,2008年9月,本书系哲学图书读物，在禅宗庞大的典籍中，《六祖法宝坛经》是一部无上的宝典，是研究、涉猎禅宗典籍的必读书目。
文学,半小时漫画世界名著2,陈磊·半小时漫画团队,1236人点评,92.10%,2022年11月,孩子不爱读名著，原因有三：字太多；情节太复杂；不知道作者想要表达啥。陈磊（笔名：混子哥）领衔的半小时漫画团队，通过诙谐语言和手绘漫画，不仅让砖头一样厚的名著瞬间变得轻松有趣，还能给孩子讲透名著背后的历史、社会、思想、人性。  《简·爱》实际上是一个孤女的逆袭之路；《瓦尔登湖》本质 上是一份简单生活的实验报告。；《猎人笔记》其实是屠格涅夫玩儿的集人物卡游戏……  翻开本书，半小时了解8部世界名著的精华，像追剧一样追完《大卫·科波菲尔》《简·爱》《呼啸山庄》《瓦尔登湖》《汤姆·索亚历险记》《猎人笔记》《战争与和平》《海底两万里》。
文学,杀死一只知更鸟（同名电影原著）,哈珀·李,8.6万人点评,92.10%,2017年2月,愿你克服偏见 愿你一往无前 《杀死一只知更鸟》的故事发生在大萧条时期美国南方一个静谧的小镇，几桩离奇的疑案彻底打破了几个孩子平静的生活：事件的真凶，怪人的谜底，传言背后的真相……在父亲的指引下，他们在迷雾中寻找真知，在磨难中历练风度，在不公平中积累正气，经历了暴风骤雨般的成长，也感受了人间的温暖与真情。
哲学,西方马克思主义概论,衣俊卿,190人点评,92.00%,2017年12月,这是一本从“最好”的层面，全面提升中层精神境界和核心素质、以打造单位“栋梁团队”的书。本书从三个单元，来全面探究一流中层的成长之路：中层精神境界-“最好的中层怎么想”、中层核心能力建设--“最好的中层怎样做”，从优秀到更优秀--“最好的中层怎样超越”。因此比起一般中层训练的书，更能掌握一流中层的核心智慧。
文学,活着,余华,16.7万人点评,92.00%,2012年8月,同名电影《活着》由张艺谋执导，葛优、巩俐两大影帝影后主演，1994年该片在第47届戛纳电影节上斩获评委会大奖、最佳男演员奖，同时还荣获了英国电影学院奖最佳外语片等重要奖项。由《活着》改编的电视剧《富贵》2005年开播，在第13届上海电视节上，摘得“白玉兰”奖——电视剧评委会大奖。《活着》是一篇读起来让人感到沉重的小说。那种只有阖上书本才会感到的隐隐不快，并不是由作品提供的故事的残酷造成的。毕竟，作品中的亡家，丧妻，失女以及白发人送黑发人这样的故事并不具备轰动性。同时，余华也不是一个具有很强煽动能力的作家，实际上，渲染这样的表达方式是余华一直所不屑的。余华所崇尚的只是叙述，用一种近乎冰冷的笔调娓娓叙说一些其实并不正常的故事。而所有的情绪就是在这种娓娓叙说的过程中中悄悄侵入读者的阅读。这样说来，《活着》以一种渗透的表现手法完成了一次对生命意义的哲学追问。本书荣获意大利格林扎纳·卡佛文学奖（1998年）、台湾《中国时报》十本好书奖（1994年），香港“博益”15本好书奖（1990年），中华图书特殊贡献奖（2005年），法国国际信使外国小说奖（2008年）；并入选香港《亚洲周刊》评选的“20世纪中文小说百年百强”；入选中国百位批评家和文学编辑评选的“九十年代最有影响的10部作品”，余华本人则于2004年荣获法兰西文学和艺术骑士勋章。
哲学,柏拉图文艺对话集,柏拉图,104人点评,91.90%,2020年10月,《柏拉图文艺对话集》由美学家朱光潜辑选、翻译，收录古希腊先哲柏拉图的文艺思想名篇，追溯西方美学思想源头，以深入浅出的经典对话体和精准、晓畅的译文，呈现出文艺灵感说、文艺与现实世界的关系，以及文艺的社会功用等柏拉图思想精要。柏拉图以真、诚、美入手文艺理论，代表古希腊文艺思想的高峰。本书既展现哲学家鲜活的思想进程，又层层深入引出结论，启发古往今来的读者思考，是一部门槛不高却意味深长的美学经典。
哲学,西方美学史,朱光潜,116人点评,91.90%,2020年10月,《西方美学史》是朱光潜最重要的一部著作，也是中国学者撰写的第一部美学史著作，具有开创性的学术价值，代表了中国研究西方美学思想的水平。 全书由序论和三个部分组成，第一部分，古希腊罗马时期到文艺复兴，第二部分，17、18世纪和启蒙运动；第三部分，18世纪末到20世纪初，最后对全书四个关键性美学问题专题研究。对该书的主要流派中主要代表的选择是根据代表性较大，影响较深远，公认为经典性权威，可说明历史发展线索，有积极意义因而足资借鉴的。而在具体评述每一位美学家时，先介绍总的时代背景和思想渊源，再分析和评价其具体美学观点，总结其得失。
历史,美国的故事（七册套装）,毕蓝,2754人点评,91.90%,2018年1月,让我们一起来读美国历史，读懂它的随意与平和，读懂它的苦涩和幽默。旅美华人毕蓝老师，在繁忙的工作之余，遍查资料，7年时间，笔耕不辍，足见其毅力以及对历史的热爱。一般历史书都只谈及美国二百来年的历史，本书却可追溯到1517年欧洲的宗教改革，弥补了美国建国前史料的空白，使我们全面了解到美国的前世今生。本书聚焦于美国建国前后的激情岁月。从北美殖民地的建立，到独立战争的打响，再到美国前几任总统的执政状况，作者洋洋洒洒地写了近百万字，可见她笔下的美国历史多么细致而生动。一个个历史事件，如过电影般，立体地呈现在我们面前，它们不再是枯燥的文字，而成了鲜活的故事。
文学,追风筝的人,卡勒德·胡赛尼,12.8万人点评,91.90%,2006年5月,为你，千千万万遍。 12岁的阿富汗富家少爷阿米尔与仆人哈桑情同手足。然而，在一场风筝比赛后，发生了一件悲惨不堪的事，阿米尔为自己的懦弱感到自责和痛苦，逼走了哈桑，不久，自己也跟随父亲逃往美国。成年后的阿米尔始终无法原谅自己当年对哈桑的背叛。为了赎罪，阿米尔再度踏上暌违二十多年的故乡，希望能为不幸的好友尽最后一点心力，却发现一个惊天谎言，儿时的噩梦再度重演，阿米尔该如何抉择？
哲学,论语别裁（全集）,南怀瑾,2861人点评,91.80%,2014年7月,我们要了解传统文化，首先必须了解儒家的学术思想。要讲儒家的思想，首先便要研究孔孟的学术。要讲孔子的思想学术，必须先要了解《论语》。《论语》是一部记载孔子言语行事的重要儒家经典，相关章句注疏累代不绝。南怀瑾先生曾于1962年至1975年间三次讲述《论语》。第三次讲记结集出版时，南先生定名为“别裁”，意谓其讲述是个人所见，别裁于正宗儒者经学之外。南先生认为历来对《论语》的讲解，错误之处，屡见不鲜，主要问题在于所讲的义理不对，内容的讲法不合科学。他讲述《论语》，“别裁于正宗儒者经学之外”，重在“入乎其内、出乎其外地体验”。
历史,徐霞客游记（译注本）,徐霞客著 钱小北译注,195人点评,91.70%,2020年5月,本书是明代伟大的旅行家、地理学家、史学家、文学家徐霞客所著的一部日记体的中国地理名著。徐霞客在34年旅行中记录下了六十余万字的游记资料，死后由他人整理成《徐霞客游记》。这部书既是地理百科全书，也是一部实录性质的历史著作，还是一部文学名著。具有多方面的科学价值。
文学,桶川跟踪狂杀人事件,清水洁,8518人点评,91.60%,2021年2月,这个叫诗织的21岁女孩，被杀死了三次…… 一九九九年十月二十六日，年轻女子猪野诗织在日本埼玉县JR桶川站前遭人持刀刺死。受害者生前因长期受到跟踪骚扰而多次向警方报案，警方却未予重视，最终没能阻止悲剧的发生。记者清水洁在调查这一事件的过程中，依从受害者生前留下的“遗言”的引导，多方走访查证，在警方轻视线索、调查不力的情况下，以记者的身份找到了实行犯，进而揭露了警方对受害者生前报案的漠视、敷衍，以及案发后试图抹黑受害者、掩盖渎职事实的行为。此案引发强烈的社会反响，推动了日本《跟踪骚扰行为规范法》的出台。本书是该事件的全记录。
文学,我与地坛,史铁生,4.4万人点评,91.60%,2011年4月,要是有些事我没说，地坛，你别以为是我忘了，我什么也没忘；但是有些事只适合收藏，不能说，不能想，却又不能忘。《我与地坛》是史铁生文学作品中，充满哲思又极为人性化的代表作之一。其前两段被纳入人民教育出版社的高一教材中。前两部分注重讲地坛和他与母亲的后悔，对中学生来说，这是一篇令人反思的优秀文章。
哲学,金刚经说什么,南怀瑾著述,1296人点评,91.50%,2016年3月,《金刚经》是初期大乘佛教的代表性经典之一，也是般若类佛经的纲要书。它全称“金刚般若波罗蜜经”（经名中的“蜜”，一作“密”），一卷，由姚秦鸠摩罗什于弘始六年（四〇四）译出。问世之后，即在社会上广泛流传，纂要、注解、夹颂、宣演、义记、采微、集解、科释、宗通、决疑、大意、直说等各种注疏达一百多种。经中主要论述了“所言一切法者，即非一切法”，一切现象（物理的和心理的）“性空幻有”的理论。本书为著名学者南怀瑾先生有关《金刚经》的讲记。作者依据梁代昭明太子的分法，将《金刚经》分为三十二品（相当于章），然后逐品做了讲解。每一品均以一首偈颂做总结，以阐发自己的研究心得。《金刚经》中的疑难之处，于中剖析得淋尽致。兹经版权方台湾老古文化事业公司授权，复旦大学出版社将老古公司二〇一二年七月第二版校订出版，以供研究。
哲学,世界上最快乐的人,咏给·明就仁波切,919人点评,91.50%,2013年10月,2002年明就仁波切参加美国威斯康星大学理查德·戴维森主持的实验研究，被测出大脑中的快乐指数在禅定状态中跃升了百分之七百，一度让科学家以为仪器坏了，被《时代周刊》杂志誉为“世界上最快乐的人”。享誉世界心灵导师、禅修大师明就仁波切，在本书中，阐述了他是如何通过佛法禅修克服童年时代的恐慌症，获得内在真正的快乐的。他首先描述了自己亲身经历的禅修困境与状态，然后通过个人体验以及现代的科学研究，揭开快乐的秘密，最后给出具体的方法，以便人们在日常生活中利用自己的身体感官知觉去做各种禅修练习，达到非比寻常的快乐。
